iter	Passed	Remaining
0	7469	440677
1	14516	420964
2	21598	410362
3	28750	402503
4	35871	394591
5	42945	386508
6	49855	377480
7	57572	374220
8	64444	365186
9	71400	357002
10	78251	348572
11	85051	340206
12	92722	335227
13	99189	325907
14	106108	318324
15	124922	343537
16	145141	367122
17	165308	385720
18	184085	397236
19	203084	406169
20	221861	412029
21	242077	418134
22	263946	424609
23	283734	425601
24	303937	425511
25	324263	424037
26	345482	422256
27	367619	420136
28	391314	418301
29	411222	411222
30	470463	440110
31	530811	464460
32	590217	482904
33	649988	497050
34	709854	507038
35	773153	515435
36	841627	523173
37	913858	529076
38	981661	528586
39	1046322	523161
40	1109648	514227
41	1169578	501248
42	1235028	488267
43	1300501	472909
44	1375014	458338
45	1615466	491663
46	1844839	510274
47	2079787	519946
48	2312530	519139
49	2680539	536107
50	2927190	516563
51	3162579	486550
52	3399808	449031
53	3615020	401668
54	3859241	350840
55	4063324	290237
